Cidade;UF;Sigla;Latitude aprox.;Longitude aprox.;Inclina‡Æo;Dip. Lat.;Posi‡Æo;;;;Coeficientes;;;Legendas;;
Afogados da Ingazeira;PE;PEAF;-07§ 46';-37§ 38';-23,901;-12,494;BL;;;;Altitude;300 Km;;EQ;Equatorial;
Alegrete;RS;RSAL;-29§ 47';-55§ 46';-36,345;-20,198;ML;;;;Ano;2017;;BL;Baixas Latitudes;
Altamira;PA;PAAT;-3§ 12';-52§ 10';-0,137;-0,069;EQ;;;;;;;ML;M‚dias Latitudes;
Aquidauana;MS;MSAQ;-20ø 27';-55ø 40';-25,075;-13,168;BL;;;;;;;AL;Altas Latitudes;
Aracaju - SÆo Crist¢vÆo;SE;SEAJ;-10§ 55';-37§ 06';-29,281;-15,662;BL;;;;;;;;;
Ara‡atuba;SP;SPAR;-21§ 11';-50§ 26';-30,413;-16,357;BL;;;;;;;;;
Arapiraca;AL;ALAR;-9§ 44';-36§ 39';-27,957;-14,862;BL;;;;;;;;;
Araquari;SC;SCAQ;-26§ 23';-48§ 44';-37,669;-21,107;ML;;;;;;;;;
Bacabal;MA;MABB;-04§ 14';-44§ 49';-10,095;-5,087;BL;;;;;;;;;
Balsas;MA;MABS;-7§ 32';-46§ 2';-14,498;-7,367;BL;;;;;;;;;
Barcelos;AM;AMBC;-00§ 58';-62§ 55';13,522;6,856;BL;;;;;;;;;
Barra do Gar‡as - UFMT;MT;MTGA;-15§ 53';-52§ 19';-21,358;-11,063;BL;;;;;;;;;
Barreiras;BA;BABR;-12§ 9';-44§ 59';-23,095;-12,036;BL;;;;;;;;;
Bel‚m;PA;BELE;-1§ 24';-48§ 27';-0,908;-0,454;EQ;;;;;;;;;
Bel‚m INPE;PA;BEPA;-01§ 27';-48§ 26';-1,017;-0,509;EQ;;;;;;;;;
Belo Horizonte;MG;MGBH;-19§ 56';-43§ 55';-34,623;-19,046;BL;;;;;;;;;
Boa Vista;RR;BOAV;2§ 50';-60§ 42';18,281;9,379;BL;;;;;;;;;
Bom Jesus da Lapa - IF Baiano;BA;BABJ;-13ø 16';-43ø 33';-26,238;-13,844;BL;;;;;;;;;
Bragan‡a Paulista;SP;SPBP;-22§ 59';-46§ 32';-35,829;-19,849;BL;;;;;;;;;
Botucatu;SP;SPBO;-22§ 51';-48§ 26';-34,105;-18,706;BL;;;;;;;;;
Bras¡lia;DF;BRAZ;-15§ 56';-47§ 52';-25,734;-13,550;BL;;;;;;;;;
Cachoeira Paulista;SP;CHPI;-22§ 41';-44§ 59';-36,791;-20,502;ML;;;;;;;;;
Campina Grande;PB;PBCG;-7§ 12';-35§ 54';-24,707;-12,955;BL;;;;;;;;;
Campinas - UNICAMP;SP;SPC1;-22§ 49';-47§ 04';-35,202;-19,430;BL;;;;;;;;;
Campo Grande;MS;MSCG;-20§ 26';-54§ 32';-25,971;-13,688;BL;;;;;;;;;
Campos dos Goytacazes;RJ;RJCG;-21§ 45';-41§ 19';-38,86;-21,943;ML;;;;;;;;;
Canan‚ia;SP;NEIA;-25§ 1';-47§ 55';-36,892;-20,571;ML;;;;;;;;;
Canarana;MT;MTCN;-13§ 33';-52§ 16';-17,79;-9,115;BL;;;;;;;;;
Cascavel;PR;PRCV;-24§ 58';-53§ 28';-32,588;-17,725;BL;;;;;;;;;
Cerro Largo;RS;RSCL;-28§ 09';-54§ 45';-35,265;-19,472;BL;;;;;;;;;
Chapec¢;SC;SCCH;-27§ 8';-52§ 35';-35,644;-19,725;BL;;;;;;;;;
Coari;AM;AMCO;-4§ 52';-65§ 20';8,36;4,202;EQ;;;;;;;;;
Coari UEA;AM;COAM;-04§ 05';-63§ 08';8,259;4,151;EQ;;;;;;;;;
Colider;MT;MTCO;-10§ 48';-55§ 27';-10,139;-5,109;BL;;;;;;;;;
Colorado d'Oeste;RO;ROCD;-13§ 7';-60§ 33';-9,625;-4,847;EQ;;;;;;;;;
Corrente;PI;PICR;-10§ 26';-45§ 10';-20,255;-10,454;BL;;;;;;;;;
Corumb  - Embrapa;MS;MSCB;-18§ 59';-56§ 37';-22,198;-11,532;BL;;;;;;;;;
Corumb  - UFMS;MS;CORU;-19§ 00';-57§ 38';-21,415;-11,095;BL;;;;;;;;;
Crato;CE;CRAT;-7§ 14';-39§ 24';-21,204;-10,978;BL;;;;;;;;;
Cruzeiro do Sul;AC;CRUZ;-7§ 36';-72§ 40';6,844;3,434;EQ;;;;;;;;;
Cuiab ;MT;CUIB;-15§ 33';-56§ 4';-17,402;-8,906;BL;;;;;;;;;
Curitiba;PR;UFPR;-25§ 26';-49§ 13';-36,322;-20,183;ML;;;;;;;;;
Dourados - UFGD;MS;MSDR;-22§ 12';-54§ 56';-28,034;-14,908;BL;;;;;;;;;
Dracena;SP;SPDR;-21§ 27';-51§ 33';-29,804;-15,982;BL;;;;;;;;;
Fernand¢polis;SP;SPFE;-20§ 16';-50§ 14';-29,417;-15,745;BL;;;;;;;;;
Floriano;PI;PIFL;-06§ 47';-43§ 02';-16,535;-8,443;BL;;;;;;;;;
Florian¢polis;SC;SCFL;-27§ 36';-48§ 31';-39,021;-22,058;ML;;;;;;;;;
Florian¢polis - IFSC;SC;IFSC;-27ø 36';-48ø 33';-38,997;-22,040;ML;;;;;;;;;
Fortaleza;CE;BRFT;-3§ 52';-38§ 25';-16,434;-8,390;BL;;;;;;;;;
Fortaleza;CE;CEEU;-3§ 52';-38§ 25';-16,434;-8,390;BL;;;;;;;;;
Fortaleza;CE;CEFT;-3§ 42';-38§ 28';-16,082;-8,203;BL;;;;;;;;;
